algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,295,62,1757807414.145702,5537.339250091463,4.516762799471002,0.3699509818902521,2.578613108995248,2.232925637589515,1.7369708601906293,1.936295,3.86,5.04,8.52,-3.6782950000000003,generation,3,False,,
GA,295,63,1757807419.64319,5497.171790921129,4.5365922200639135,0.24828388562558062,1.9813281060649843,1.7665040058883545,1.381664331236864,2.331659,3.11,3.7,5.91,-3.6036590000000004,generation,3,False,,
GA,295,64,1757807425.2613099,5617.7340829744935,5.408818111867171,0.35751189137818956,2.4636754720547343,2.213817773243907,1.7210446532459764,2.302779,2.99,3.49,5.53,-3.5037790000000006,generation,3,False,,
GA,295,65,1757807430.907552,5643.941332935356,3.2707852245289173,0.38151432186549966,1.2487826139592442,0.8896448233943992,0.6122859970280281,1.160276,33.44,65.84,139.14,-25.002276,generation,4,False,1.0,0.16576015974134203
GA,295,66,1757807436.604838,5696.974041988142,3.2707852245289173,0.38151432186549966,1.2497017770354724,0.8905639864706272,0.6122859970280281,1.160428,33.39,65.7,139.14,-24.983428,generation,4,False,1.0,0.0039030636960714436
GA,295,67,1757807442.135978,5530.908250017092,3.2707852245289173,0.37925796063901385,1.1787802236195521,0.8205385487141242,0.6122859970280281,1.151771,37.09,76.48,137.5,-26.258771,generation,4,False,1.0,inf
GA,295,68,1757807447.6551812,5518.927791970782,3.1853037841833265,0.3813043221451966,1.2488705160057583,0.8897175831683637,0.6122859970280281,1.147871,35.22,69.33,146.58,-26.260870999999998,generation,4,False,1.0,0.238060185703882
GA,295,69,1757807453.166425,5510.69158304017,3.2707852245289173,0.3669453318401396,1.1805420581500539,0.8224710240570243,0.6122859970280281,1.167823,34.62,71.26,128.69,-24.624823,generation,4,False,1.0,0.13208220333291987
GA,295,70,1757807458.737568,5570.818915963173,3.2707852245289173,0.3793824418972894,1.1885232821806893,0.8224710240570243,0.6122859970280281,1.152474,36.51,76.17,137.59,-26.179474000000003,generation,4,False,1.0,0.09367999307248022
GA,295,71,1757807464.253262,5515.417166985571,3.270664162376759,0.3669786662647938,1.2434205491919397,0.8845911447649174,0.6518247277912388,1.187496,31.22,61.62,113.54,-21.825496,generation,4,False,1.0,0.09714198476548923
GA,295,72,1757807469.826433,5572.884000022896,3.2707825767620524,0.38016522614074216,1.1891525528118785,0.8224710240570243,0.6122859970280281,1.151554,36.62,76.49,138.16,-26.278554,generation,4,False,1.0,0.11964617916156489
GA,295,73,1757807475.48842,5661.6734999697655,3.1011062492810826,0.25838678594548475,1.0701934340000816,0.8242209050758526,0.6104202659194362,1.316685,23.24,39.16,71.36,-14.692684999999999,generation,4,False,1.0,1.539564237750235
GA,295,74,1757807481.0159628,5527.261791052297,3.2695409917808047,0.3819208702341364,1.9315809000295339,1.5741549439336777,1.1523494347891596,1.350118,14.02,21.12,39.38,-8.802118000000002,generation,4,False,,
GA,295,75,1757807486.594975,5578.634500037879,3.1432289840863916,0.26764190408988087,1.775133094438149,1.5619727689138365,1.1373216184993118,1.557751,8.82,11.39,21.49,-5.727751000000001,generation,4,False,,
GA,295,76,1757807492.1501791,5554.884334094822,4.520785224528917,0.24598223709120537,2.4710416619307005,2.2255179559747953,1.7322859970280284,2.491489,2.42,2.69,3.79,-3.381489,generation,4,False,,
GA,295,77,1757807497.7020202,5551.440624985844,4.520785224528917,0.24245927355148184,2.3763539218023837,2.1250338205094277,1.6291345077661457,2.552147,2.48,2.78,4.11,-3.4891470000000004,generation,4,False,,
GA,295,78,1757807503.239452,5537.101874942891,4.520785224528917,0.24598223709120537,2.492492872408131,2.241172771115175,1.745273458371893,2.480156,2.4,2.67,3.74,-3.3611560000000003,generation,4,False,,
GA,295,79,1757807508.761749,5522.03070896212,3.1449192121715055,0.24509487164655702,2.4074164638154243,2.170195354667806,1.7449877935287736,1.99684,3.99,4.83,7.64,-3.64284,generation,4,False,,
GA,295,80,1757807514.282241,5520.244042039849,4.530064719583925,0.261127952740351,2.8980114768672576,2.646627651557335,2.148810512897629,1.332098,2.19,2.4,2.99,-2.0900980000000002,generation,4,False,1.0,inf
GA,295,81,1757807519.8174982,5532.638292061165,3.2707852245289173,0.3838894432080162,1.2423320823458681,0.8840904074404402,0.6758378557543441,1.170707,34.21,67.5,115.57,-22.898707,generation,5,False,1.0,0.11777811114157392
GA,295,82,1757807525.334062,5516.278124996461,3.2707852245289173,0.37925796063901385,1.1787802236195521,0.8205385487141242,0.6122859970280281,1.151771,37.09,76.48,137.5,-26.258771,generation,5,False,,
GA,295,83,1757807530.982411,5647.924083983526,3.0273340882754884,0.37931234346557374,1.1797540959259831,0.8215106699316118,0.6122859970280281,1.118412,43.22,89.1,160.51,-30.401412,generation,5,False,1.0,inf
GA,295,84,1757807536.532276,5549.565166002139,3.3127368272008724,0.38052264385363704,1.2496657819653283,0.8905136273073427,0.6122859970280281,1.16796,32.39,63.72,134.93,-24.271960000000004,generation,5,False,1.0,0.14313783628237303
GA,295,85,1757807542.070373,5537.680292036384,3.187853451084374,0.3793713852805356,1.1638556774389845,0.8049521721723591,0.5939207413256067,1.132875,40.07,83.71,153.98,-28.908875,generation,5,False,1.0,0.5211413115198305
GA,295,86,1757807547.6282518,5557.463750010356,3.2698717975659393,0.3848179990403857,1.2666912590437287,0.9002670780812748,0.6122859970280281,1.158319,33.09,65.45,141.65,-25.177319,generation,5,False,,
GA,295,87,1757807553.157419,5528.718166984618,3.270664162376759,0.3669786662647938,1.2434205491919397,0.8845911447649174,0.6518247277912388,1.187496,31.22,61.62,113.54,-21.825496,generation,5,False,,
GA,295,88,1757807558.698188,5540.275707957335,3.2919262646459146,0.3669786662647938,1.2434205491919397,0.8845911447649174,0.6518247277912388,1.190719,30.82,60.83,112.08,-21.563719000000006,generation,5,False,1.0,1.2295306622525901
GA,295,89,1757807564.253268,5554.727915907279,3.2706679585049954,0.366969299305769,1.1607657678923098,0.7977400990780908,0.587156451844665,1.157605,35.81,75.76,140.01,-26.315605,generation,5,False,,
GA,295,90,1757807569.759958,5506.404457963072,3.2707755051662413,0.37898479458663226,1.2513098805134404,0.884764695807866,0.6526771742266247,1.172749,32.87,65.69,120.79,-23.107749000000002,generation,5,False,1.0,0.1818037581704025
GA,295,91,1757807575.3776672,5617.417374975048,3.1039076764173874,0.2623701121965314,1.0652265040782214,0.8206702827751271,0.6104860292380677,1.307324,24.15,40.66,73.42,-15.130324000000002,generation,5,False,1.0,1.2826831797034308
GA,295,92,1757807580.905036,5527.167166001163,3.2710202485158493,0.38003095817739746,1.2008565813402643,0.8322077497826714,0.6122284341210212,1.153457,35.88,74.64,138.07,-26.012457,generation,5,False,,
GA,295,93,1757807586.436492,5531.093708937988,4.530064719583925,0.261127952740351,2.8980114768672576,2.646627651557335,2.148810512897629,1.332098,2.19,2.4,2.99,-2.0900980000000002,generation,5,False,,
GA,295,94,1757807591.9814148,5544.616249972023,4.530064719583925,0.261127952740351,2.8980114768672576,2.646627651557335,2.148810512897629,1.332098,2.19,2.4,2.99,-2.0900980000000002,generation,5,False,1.0,inf
GA,295,95,1757807597.5094552,5527.759167016484,3.178329716365073,0.25213350736218254,1.1409944818554814,0.8892924795734323,0.6130257883853243,1.361881,18.54,30.51,64.14,-12.680881000000001,generation,5,False,,
GA,295,96,1757807603.050495,5540.695875068195,4.36545063936956,0.38182755453654205,3.0161663846951905,2.6513714990927824,2.1594940170783365,2.121573,3.34,4.12,6.2,-3.4875730000000003,generation,5,False,,
